date,open,high,low,close,volume
2/7/2012,306.6987,307.8303,304.9874,306.5068,2091935
2/8/2012,307.4514,308.8203,305.4822,308.0626,1835626
2/9/2012,309.1588,310.4115,307.6332,308.8759,2264670
2/10/2012,307.0675,307.1938,305.1075,306.0723,2328170
2/13/2012,308.391,310.0774,308.1485,309.2497,1816059
2/14/2012,308.9163,309.1487,305.4914,308.0172,1803351
2/15/2012,309.6185,309.6185,304.3801,305.8955,2420676
2/16/2012,304.5114,307.5373,301.9403,306.3805,2530161
2/17/2012,305.5975,306.9412,304.2993,305.4308,2448307
2/21/2012,305.0419,312.1189,304.5418,310.159,2480739
2/22/2012,309.1285,311.5633,306.4765,307.0978,1966985
2/23/2012,306.623,307.0978,303.2637,306.1734,2053490
2/24/2012,306.7998,308.9719,305.8703,308.0879,1934717
2/27/2012,306.4158,309.3305,305.643,307.7898,1810776
2/28/2012,308.1384,313.0737,306.9665,312.3766,2847297
2/29/2012,312.4826,316.0186,310.9167,312.3058,3136837
3/1/2012,314.3315,316.0692,312.2553,314.4022,2236470
3/2/2012,314.2001,315.2104,313.3515,313.8213,1573214
3/5/2012,313.4071,314.4476,308.8355,310.2853,1593150
3/6/2012,307.1534,307.5373,299.9752,305.5925,3174216
3/7/2012,307.6585,308.7384,306.0471,306.5219,1264177
3/8/2012,308.1586,308.8961,306.2946,306.6937,1345228
3/9/2012,307.1028,309.0982,303.0869,303.2132,2670511
3/12/2012,303.0869,306.623,302.7131,305.6884,1668826
3/13/2012,307.507,312.1038,305.8915,312.0684,2243161
3/14/2012,310.6641,314.5941,309.8862,311.1642,2936757
3/15/2012,311.4723,314.9578,310.5782,313.7607,2435040
3/16/2012,313.6394,316.1742,313.2151,315.7358,3050086
3/19/2012,314.7659,321.9137,313.8167,320.2518,2172691
3/20/2012,318.706,321.3025,316.8622,320.0042,1540452
3/21/2012,320.57,327.0258,319.5092,323.2826,2469437
3/22/2012,322.535,327.738,318.7464,326.3489,2409720
3/23/2012,326.6267,327.5865,323.7474,324.6011,1940190
3/26/2012,325.8185,328.0866,323.0604,328.0057,1819122
3/27/2012,326.8439,330.1122,325.7174,326.8389,2005747
3/28/2012,329.3696,332.6829,328.8897,331.2538,2538443
3/29/2012,330.0819,331.6731,325.4649,327.541,1923766
3/30/2012,329.2282,330.1071,323.7979,323.9191,2310635
4/2/2012,323.6817,327.0813,320.6862,326.7883,2283920
4/3/2012,326.0256,327.3086,322.6057,324.6162,2044362
4/4/2012,322.5098,322.7876,318.7969,320.8428,1627027
4/5/2012,319.3728,321.4894,317.5189,319.4132,2317058
4/9/2012,317.4735,320.9337,315.8621,318.6656,2179489
4/10/2012,320.0194,320.5144,315.4882,316.6551,2476956
4/11/2012,320.2467,321.2722,318.898,321.252,2198348
4/12/2012,324.4798,329.9303,323.4241,328.8544,5700940
4/13/2012,327.1066,327.834,314.9781,315.5135,8157100
4/16/2012,314.7053,315.1144,303.9255,306.1532,5691152
4/17/2012,307.411,312.023,306.628,307.9212,3012223
4/18/2012,307.1534,309.5528,304.5064,306.8503,2668230
4/19/2012,305.9612,311.3006,302.5818,302.7333,3294552
4/20/2012,305.2338,307.5575,300.9805,301.0967,3056571
4/23/2012,299.5004,302.304,298.1365,301.8746,2197498
4/24/2012,302.1979,306.4361,301.7332,303.7285,1928987
4/25/2012,305.1075,308.8203,304.5418,307.9969,1819854
4/26/2012,308.5981,312.1795,307.9868,310.9015,2091974
4/27/2012,310.6742,311.5431,308.4415,310.654,1634699
4/30/2012,309.6488,311.2107,303.3951,305.5369,2405297
5/1/2012,305.0014,308.9466,303.1829,305.3247,2002121
5/2/2012,303.6931,307.1837,303.3951,306.7543,1611434
5/3/2012,307.9464,310.5782,307.608,308.6536,1866837
5/4/2012,306.0774,307.0718,301.4755,301.5564,2207360
5/7/2012,300.5612,308.4263,300.5612,306.9008,1994142
5/8/2012,305.8804,311.6239,303.4405,309.5477,2675712
5/9/2012,306.532,311.3612,304.0013,307.709,2328424
5/10/2012,309.6336,311.2652,308.2546,309.9872,1533977
5/11/2012,308.3152,310.4368,305.4965,305.7288,2098640
5/14/2012,303.481,307.3807,303.3799,305.1075,1821175
5/15/2012,305.7895,310.6641,304.9812,308.6991,2102039
5/16/2012,312.1593,318.2918,311.1389,317.7008,4834783
5/17/2012,320.176,322.2067,313.8112,314.7305,3353391
5/18/2012,315.7661,319.4637,301.42,303.289,5970679
5/21/2012,303.3446,311.0147,303.0869,310.2145,3075229
5/22/2012,309.8761,310.063,301.0664,303.4911,3049291
5/23/2012,303.9204,307.9363,301.6321,307.8656,3170890
5/24/2012,307.7141,309.1083,302.5151,304.9358,1890980
5/25/2012,303.5921,303.9608,297.1666,298.8084,3581521
5/29/2012,300.9704,302.6475,297.1868,300.2278,2604043
5/30/2012,297.106,298.9953,294.7672,297.1414,1906529
5/31/2012,297.3889,298.0355,292.4789,293.4185,2966317
6/1/2012,288.8368,289.2712,287.0991,288.4276,3057843
6/4/2012,288.0437,293.2316,287.9376,292.2718,2432436
6/5/2012,290.6856,292.0394,286.1494,288.1397,2339736
6/6/2012,291.2059,293.9792,289.7562,293.272,2095103
6/7/2012,296.8231,296.9696,291.5949,292.0899,1757697
6/8/2012,290.8877,293.4892,290.2462,293.2114,1410166
6/11/2012,295.1107,295.6702,286.2606,287.1749,2660163
6/12/2012,287.8164,288.0841,282.1638,285.4574,3222462
6/13/2012,283.75,286.4172,282.2144,283.4318,1952307
6/14/2012,283.5378,285.4422,281.1233,282.4013,2341405
6/15/2012,283.0529,285.1644,281.4112,285.1593,2998982
6/18/2012,284.2046,290.0593,282.5023,288.362,2496289
6/19/2012,289.7461,295.1461,289.5087,293.7569,2075909
6/20/2012,292.8881,292.984,289.7057,291.7262,2346698
6/21/2012,292.9032,292.9032,284.7653,285.5129,2010772
6/22/2012,286.9223,288.6802,285.8211,288.6802,2202179
6/25/2012,286.5839,286.969,281.5425,283.2347,1581536
6/26/2012,284.2753,286.2151,282.6185,285.2452,1350151
6/27/2012,286.7708,289.9471,285.9221,287.579,1691146
6/28/2012,285.8615,286.0282,281.4718,285.0583,1920770
6/29/2012,290.4381,293.0497,289.0439,293.0194,2518306
7/2/2012,293.9034,294.4994,291.216,293.2215,1655242
7/3/2012,292.9891,297.2323,291.9738,296.9393,1190525
7/5/2012,297.4091,303.1172,297.298,301.0259,2345901
7/6/2012,299.2731,299.8136,294.4086,296.0048,2160718
7/9/2012,295.4845,297.3283,293.6155,296.02,1714741
7/10/2012,298.1315,299.263,292.3476,293.8428,1923015
